Input Title,Input Year,Country 1,Country 2,Country 3,Country 4,Language 1,Language 2,Language 3,Language 4,Lang 1,Lang 2,Lang 3,Lang 4,Output Title (for verification),Output Release Date (for verification)
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"The Namesake",2006-09-02
"Bodyguard",2011,India,,,,తెలుగు,,,,te,,,,"Bodyguard",2012-01-14
"Kites",2010,,,,,English,हिन्दी,Español,,en,hi,es,,"Kites",2010-05-21
"Kites",2010,,,,,English,हिन्दी,Español,,en,hi,es,,"Kites",2010-05-21
"Kites",2010,,,,,English,हिन्दी,Español,,en,hi,es,,"Kites",2010-05-21
"Kites",2010,,,,,English,हिन्दी,Español,,en,hi,es,,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"Kites",2010,,,,,English,हिन्दी,Español,,en,hi,es,,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"Agneepath",2012,India,,,,हिन्दी,,English,,hi,mr,en,,"Agneepath",2012-01-25
"Bodyguard",2011,India,,,,తెలుగు,,,,te,,,,"Agneepath",2012-01-25
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Agneepath",2012-01-25
"Kites",2010,,,,,English,हिन्दी,Español,,en,hi,es,,"Agneepath",2012-01-25
"Agneepath",2012,India,,,,हिन्दी,,English,,hi,mr,en,,"Agneepath",2012-01-25
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Agneepath",2012-01-25
"Bodyguard",2011,India,,,,తెలుగు,,,,te,,,,"Agneepath",2012-01-25
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Agneepath",2012-01-25
"What's Your Rashee?",2009,,,,,,,,,,,,,"Agneepath",2012-01-25
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Agneepath",2012-01-25
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Agneepath",2012-01-25
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Agneepath",2012-01-25
"Agneepath",2012,India,,,,हिन्दी,,English,,hi,mr,en,,"Agneepath",2012-01-25
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Agneepath",2012-01-25
"Pyare Mohan",2006,,,,,,,,,,,,,"Agneepath",2012-01-25
"Kites",2011,,,,,English,हिन्दी,Español,,en,hi,es,,"Kites",2010-05-21
"Pyare Mohan",2006,,,,,,,,,,,,,"Kites",2010-05-21
"Agneepath",2012,India,,,,हिन्दी,,English,,hi,mr,en,,"Kites",2010-05-21
"What's Your Rashee?",2009,,,,,,,,,,,,,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"Agneepath",2012,India,,,,हिन्दी,,English,,hi,mr,en,,"Kites",2010-05-21
"What's Your Rashee?",2009,,,,,,,,,,,,,"Kites",2010-05-21
"Kites",2010,,,,,English,हिन्दी,Español,,en,hi,es,,"Kites",2010-05-21
"Bodyguard",2011,India,,,,తెలుగు,,,,te,,,,"Kites",2010-05-21
"Bodyguard",2011,India,,,,తెలుగు,,,,te,,,,"Kites",2010-05-21
"What's Your Rashee?",2009,,,,,,,,,,,,,"Kites",2010-05-21
"Bodyguard",2011,India,,,,తెలుగు,,,,te,,,,"Kites",2010-05-21
"The Namesake",2007,India,United States of America,,,English,,हिन्दी,Français,en,bn,hi,fr,"Kites",2010-05-21
"El secreto de sus ojos",2010,Argentina,Spain,,,Español,,,,es,,,,"El secreto de sus ojos",2009-08-13
